set,no_runs,no_gen,pop_size,fl_var,fl_noise,m_per_unit,FT_loci,no_S_alleles,allele_prob,stigma_expr,pollen_expr,phenology,compatibility,space_pollen,no_neut_alleles,neutral_prob,freqA,selection_aa,selection_AA,LA_inbreeding_flowers,fl_id_weight,LA_inbreeding_fecundity,EA_inbreeding,EA_id_threshold,space_seed,seed_lambda,space,neut_loci,torus,mut,u
42,5,500,400,high,low,1,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
43,5,500,400,high,low,1,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
44,5,500,400,high,low,2,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
45,5,500,400,high,low,2,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
46,5,500,400,high,low,4,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
47,5,500,400,high,low,4,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
48,5,500,400,low,low,1,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
49,5,500,400,low,low,1,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
50,5,500,400,low,low,2,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
51,5,500,400,low,low,2,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
52,5,500,400,low,low,4,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
53,5,500,400,low,low,4,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,no,no,0.001
54,5,500,400,high,low,1,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
55,5,500,400,high,low,1,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
56,5,500,400,high,low,2,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
57,5,500,400,high,low,2,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
58,5,500,400,high,low,4,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
59,5,500,400,high,low,4,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
60,5,500,400,low,low,1,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
61,5,500,400,low,low,1,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
62,5,500,400,low,low,2,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
63,5,500,400,low,low,2,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
64,5,500,400,low,low,4,5,12,random,codominant,codominant,no,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
65,5,500,400,low,low,4,5,12,random,codominant,codominant,yes,no,yes,12,random,0.5,0,0,no,0.5,no,no,0.6,yes,2,fixed,10,yes,no,0.001
