"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.4676,13.1278013605442,0.832701750814558,0,0.5042,0.5014,0.5056,1,1,1
"2",2,99.3288,12.1495503801521,0.824030875925422,0,0.4916,0.5108,0.5054,1,1,1
"3",3,99.3204,12.2714524209684,0.81285156520502,5e-05,0.493,0.5096,0.509,1,1,1
"4",4,99.3284,11.7316460984394,0.802984833885381,0.000225,0.493,0.5096,0.5112,1,1,1
"5",5,99.3472,11.7825651860744,0.801778024695464,0.000521875,0.4932,0.5074,0.5106,1,1,1
"6",6,99.3996,12.137574869948,0.800006287790455,0.00071484375,0.4984,0.5048,0.4972,1,1,1
"7",7,99.2504,12.2934172068828,0.804825334969447,0.00084375,0.5002,0.4946,0.4952,1,1,1
"8",8,99.322,12.4729051620648,0.814601266161883,0.00132255859375,0.4972,0.4988,0.4908,1,1,1
"9",9,99.252,12.4918927571028,0.821159128737838,0.0012737060546875,0.5042,0.4886,0.4874,1,1,1
"10",10,99.2648,12.5436984393758,0.821107103119083,0.00145342407226562,0.506,0.4886,0.4918,1,1,1
"11",11,99.0984,12.2632227290916,0.817763440134897,0.00160732498168945,0.5012,0.4806,0.4884,1,1,1
"12",12,99.1244,11.9801166866747,0.8225968761712,0.00177524795532227,0.5052,0.477,0.4988,1,1,1
"13",13,98.9608,12.1737328531413,0.788263912267316,0.00183738560676575,0.5156,0.4708,0.5048,1,1,1
"14",14,98.9608,12.0168701080432,0.796283032592995,0.00226243569850922,0.5076,0.4632,0.5172,1,1,1
"15",15,99.006,12.4349379751901,0.799836266621529,0.00242298871576786,0.513,0.4776,0.516,1,1,1
"16",16,98.8916,12.2887649459784,0.791609884791945,0.00245446068868041,0.5138,0.4726,0.5176,1,1,1
"17",17,98.9452,12.6568597038816,0.794997317124191,0.00262186919283122,0.5158,0.4778,0.506,1,1,1
"18",18,98.9096,12.7193155662265,0.819102514997875,0.00298747092997655,0.5166,0.4804,0.504,1,1,1
"19",19,98.9576,12.1430594637855,0.828131807433124,0.00312836453135824,0.5168,0.4802,0.4984,1,1,1
"20",20,98.9284,12.5907097238896,0.818620954144191,0.00334696137807332,0.5162,0.4902,0.493,1,1,1
"21",21,99.0952,12.8568797118848,0.813890296117607,0.00339966664803651,0.5224,0.491,0.5022,1,1,1
"22",22,99.1056,12.457031452581,0.824071872562168,0.00374117276754623,0.5214,0.4952,0.4954,1,1,1
"23",23,99.032,12.0678031212485,0.807817056089642,0.00401675782140023,0.5192,0.481,0.4938,1,1,1
"24",24,99.216,12.1606082432973,0.815014676189298,0.00397854967068689,0.5164,0.4824,0.4926,1,1,1
"25",25,99.1412,12.3237920768307,0.795386628617439,0.00405124916948925,0.5058,0.4792,0.4804,1,1,1
"26",26,99.132,12.7876910764306,0.788380132455305,0.00441203242193011,0.4956,0.4796,0.475,1,1,1
